0.2,7.8131e-05
0.4,0.00023136
0.6,0.00037696
0.8,0.00049335
1,0.00058088
1.2,0.00064431
1.4,0.00068837
1.6,0.00071707
1.8,0.00073381
2,0.0007415
2.2,0.00079282
2.4,0.00086465
2.6,0.00093641
2.8,0.0010081
3,0.0010797
3.2,0.0011512
3.4,0.0012226
3.6,0.0012937
3.8,0.0013656
4,0.0014382
4.2,0.00151
4.4,0.0015824
4.6,0.0016561
4.8,0.0017283
5,0.0017992
5.2,0.0018695
5.4,0.0019391
5.6,0.0020077
5.8,0.0020812
6,0.0021545
6.2,0.0022268
6.4,0.0022985
6.6,0.0023705
6.8,0.002441
7,0.0025103
7.2,0.0025794
7.4,0.0026478
7.6,0.0027144
7.8,0.0027892
8,0.0028637
8.2,0.0029383
8.4,0.0030123
8.6,0.0030862
8.8,0.0031598
9,0.0032328
9.2,0.0033057
9.4,0.0033777
9.6,0.0034498
9.8,0.0035204
10,0.0035917
10.2,0.0036608
10.4,0.0037311
10.6,0.0037985
10.8,0.0038676
11,0.0039338
11.2,0.0040008
11.4,0.0040658
11.6,0.0041304
11.8,0.004194
12,0.0042562
12.2,0.0043182
12.4,0.0043777
12.6,0.0044382
12.8,0.0044949
13,0.004554
13.2,0.0046076
13.4,0.0046648
13.6,0.0047172
13.8,0.0047671
14,0.0048218
14.2,0.0048687
14.4,0.0049146
14.6,0.0049642
14.8,0.0050091
15,0.0050492
15.2,0.0050921
15.4,0.0051369
15.6,0.0051751
15.8,0.0052132
16,0.005249
16.2,0.0052877
16.4,0.0053286
16.6,0.0053655
16.8,0.0053968
17,0.0054249
17.2,0.0054571
17.4,0.0054913
17.6,0.0055218
17.8,0.0055462
18,0.005566
18.2,0.0055854
18.4,0.0056103
18.6,0.0056358
18.8,0.0056569
19,0.0056724
19.2,0.0056827
19.4,0.0056902
19.6,0.0057006
19.8,0.0057153
20,0.0057301
